"title","subtitle","link","pubDate","duration","Kapitel_Start","Kapitel_Titel"
"LdN218 Spezial: Saskia Esken und Norbert Walter-Borjans, Bundesvorsitzende der SPD",NA,"https://lagedernation.org/2020/12/04/ldn218-spezial-saskia-esken-und-norbert-walter-borjans-bundesvorsitzende-der-spd/","Fri, 04 Dec 2020 06:33:17 +0000","01:09:11","00:00:00.000","Begrüßung"
"LdN218 Spezial: Saskia Esken und Norbert Walter-Borjans, Bundesvorsitzende der SPD",NA,"https://lagedernation.org/2020/12/04/ldn218-spezial-saskia-esken-und-norbert-walter-borjans-bundesvorsitzende-der-spd/","Fri, 04 Dec 2020 06:33:17 +0000","01:09:11","00:01:01.674","1 Jahr ""Eskabolation"""
"LdN218 Spezial: Saskia Esken und Norbert Walter-Borjans, Bundesvorsitzende der SPD",NA,"https://lagedernation.org/2020/12/04/ldn218-spezial-saskia-esken-und-norbert-walter-borjans-bundesvorsitzende-der-spd/","Fri, 04 Dec 2020 06:33:17 +0000","01:09:11","00:03:37.063","Soziale Ungleichheit"
"LdN218 Spezial: Saskia Esken und Norbert Walter-Borjans, Bundesvorsitzende der SPD",NA,"https://lagedernation.org/2020/12/04/ldn218-spezial-saskia-esken-und-norbert-walter-borjans-bundesvorsitzende-der-spd/","Fri, 04 Dec 2020 06:33:17 +0000","01:09:11","00:05:27.294","Umverteilung"
"LdN218 Spezial: Saskia Esken und Norbert Walter-Borjans, Bundesvorsitzende der SPD",NA,"https://lagedernation.org/2020/12/04/ldn218-spezial-saskia-esken-und-norbert-walter-borjans-bundesvorsitzende-der-spd/","Fri, 04 Dec 2020 06:33:17 +0000","01:09:11","00:08:22.782","Corona"
"LdN218 Spezial: Saskia Esken und Norbert Walter-Borjans, Bundesvorsitzende der SPD",NA,"https://lagedernation.org/2020/12/04/ldn218-spezial-saskia-esken-und-norbert-walter-borjans-bundesvorsitzende-der-spd/","Fri, 04 Dec 2020 06:33:17 +0000","01:09:11","00:13:27.614","Prio Wirtschaft vor Kultur"
"LdN218 Spezial: Saskia Esken und Norbert Walter-Borjans, Bundesvorsitzende der SPD",NA,"https://lagedernation.org/2020/12/04/ldn218-spezial-saskia-esken-und-norbert-walter-borjans-bundesvorsitzende-der-spd/","Fri, 04 Dec 2020 06:33:17 +0000","01:09:11","00:16:35.391","Ungleichheit nach Corona"
"LdN218 Spezial: Saskia Esken und Norbert Walter-Borjans, Bundesvorsitzende der SPD",NA,"https://lagedernation.org/2020/12/04/ldn218-spezial-saskia-esken-und-norbert-walter-borjans-bundesvorsitzende-der-spd/","Fri, 04 Dec 2020 06:33:17 +0000","01:09:11","00:21:57.372","Forderungen Steuer / Erbschaftssteuer"
"LdN218 Spezial: Saskia Esken und Norbert Walter-Borjans, Bundesvorsitzende der SPD",NA,"https://lagedernation.org/2020/12/04/ldn218-spezial-saskia-esken-und-norbert-walter-borjans-bundesvorsitzende-der-spd/","Fri, 04 Dec 2020 06:33:17 +0000","01:09:11","00:26:57.952","Besteuerung digitaler Konzerne"
"LdN218 Spezial: Saskia Esken und Norbert Walter-Borjans, Bundesvorsitzende der SPD",NA,"https://lagedernation.org/2020/12/04/ldn218-spezial-saskia-esken-und-norbert-walter-borjans-bundesvorsitzende-der-spd/","Fri, 04 Dec 2020 06:33:17 +0000","01:09:11","00:31:54.860","SPD in der Opposition?"
